Added At,Added By,Explicit,Genres,Popularity,Record Label,Release Date,acousticness,album,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,uri,valence
2026-01-02T09:02:07Z,astrid.verschraege,False,"motown,classic soul,soul",47,Motown,1973-08-03,0.189,Innervisions,Stevie Wonder,0.57,335226,0.764,0.0,6,0.0694,-10.041,1,He's Misstra Know-It-All,0.0537,80.548,4,spotify:track:7sQ9eys8uVNrCsPyzYlDgG,0.722
2026-01-02T09:02:07Z,astrid.verschraege,False,"new wave,synthpop",37,Virgin Records,1984-01-01,0.292,Hysteria,The Human League,0.803,300360,0.224,9.65e-05,2,0.0823,-20.183,1,Louise,0.0312,98.318,4,spotify:track:0Mdx8ec3nOMZsWIDEuFJXK,0.901
2026-01-02T09:02:07Z,astrid.verschraege,False,"neoclassical,contemporary classical,minimalism,ambient",54,Erased Tapes,2018-01-26,0.952,All Melody,Nils Frahm,0.253,316167,0.0118,0.614,8,0.245,-33.838,1,My Friend the Forest,0.042,82.843,3,spotify:track:7B0ofCHeQu2FoX7P28ZaPp,0.149
2026-01-02T09:02:07Z,astrid.verschraege,False,,23,High Vibe Records,2020-09-15,0.911,Tides,Bliss Looper,0.519,123884,0.277,0.884,7,0.11,-22.315,1,Tides,0.041,161.989,5,spotify:track:74gXTPHvFr8XkuS8zWS14W,0.145
2026-01-02T09:02:07Z,astrid.verschraege,False,"trip hop,downtempo",55,Make Records / Platoon,2019-10-25,0.0805,Swimmers,Zero 7;Jem Cooke,0.651,237597,0.492,0.0206,6,0.0912,-11.808,1,Swimmers,0.0301,152.034,4,spotify:track:3RMuJ4qdkgs71mBNbPpZu0,0.79
2026-01-02T09:02:07Z,astrid.verschraege,False,,22,BGS Records,2005,0.98,¡danza! The Music of Dance,Tom Kerstens,0.288,190506,0.108,0.894,9,0.0806,-24.582,0,Danza del altiplano,0.0559,77.075,4,spotify:track:0Wbwtdm59r22Zj0hDI9VYk,0.105
2026-01-02T09:02:07Z,astrid.verschraege,False,,76,Gibran Alcocer / Kurate Music,2022-07-09,0.978,Idea 10,Gibran Alcocer,0.339,128000,0.242,0.871,7,0.104,-20.446,0,Idea 10,0.0383,87.053,3,spotify:track:1lb3H41lbvAN28N7yqRNL9,0.711
2026-01-02T09:02:07Z,astrid.verschraege,False,"jazz,swing music,ragtime,french jazz",55,Vogue,1997-05-06,0.811,Les Années Bechet,Sidney Bechet;Claude Luter et son orchestre,0.46,193573,0.379,0.866,3,0.552,-12.862,1,Si tu vois ma mère - Slow,0.0402,79.53,4,spotify:track:5FWn20xrAQ1IdbA8Dml6pj,0.61
2026-01-02T09:02:07Z,astrid.verschraege,False,fado,50,Lusafrica,1992-10-21,0.822,Miss Perfumado,Cesária Evora,0.575,293640,0.43,0.000661,8,0.115,-13.168,1,Sodade,0.0363,82.691,4,spotify:track:7xzMrUmlooPa1Fmp88hlYc,0.427
2026-01-02T09:02:07Z,astrid.verschraege,False,,51,Malte Marten,2024-11-08,0.922,Healing Frequencies,Malte Marten,0.354,132370,0.0694,0.905,6,0.0954,-23.2,0,Trusting the Process (1111 Hz),0.0403,117.742,4,spotify:track:1XPtINrBKd50UVEgZb7iKU,0.342
2026-01-02T09:02:07Z,astrid.verschraege,False,"french indie pop,french pop,french house",28,Disque Pointu,2022-11-04,0.55,Teatro Lúcido,La Femme,0.517,340933,0.402,0.952,2,0.0933,-12.003,0,Ballade Arabo-Andalouse,0.0261,100.015,4,spotify:track:1fKkXZwmfIKziXFW4hhZ5c,0.131
2026-01-02T09:02:07Z,astrid.verschraege,False,"neoclassical,contemporary classical,minimalism,classical,ambient",70,Deutsche Grammophon (DG),2018-05-11,0.154,The Blue Notebooks (15 Years),Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Philip Sheppard;Chris Worsey,0.0652,371746,0.342,0.857,10,0.11,-12.742,0,On the Nature of Daylight,0.0483,65.602,4,spotify:track:56oReVXIfUO9xkX7pHmEU0,0.0335
2026-01-02T09:02:07Z,astrid.verschraege,False,"ambient,minimalism,drone",0,Empire of Signs,2017-11-03,0.977,Music for Nine Post Cards,Hiroshi Yoshimura,0.361,282013,0.055,0.92,0,0.0753,-19.128,1,Blink,0.0579,68.554,5,spotify:track:7d26IhLPUlL4oncFgsms22,0.336
2026-01-02T09:02:07Z,astrid.verschraege,False,,48,Superpuma Records,2013-03-01,0.107,Buck,Daniel Norgren,0.674,614826,0.276,0.881,7,0.112,-12.766,0,Howling Around My Happy Home,0.0296,177.248,4,spotify:track:3XFcUSSbb3ezNem7EnPq2G,0.76
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,acid techno,progressive trance",26,Perfecto Fluoro,2025-03-28,0.000254,Floor Essence,Man With No Name;Fish56Octagon;David Forbes,0.527,147000,0.99,0.951,10,0.633,-5.213,0,Floor Essence,0.0341,140.005,4,spotify:track:6poINqN7weIL6WKXSQJ3MM,0.15
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,1,Suntrip Records,2024-01-26,0.00224,M.U.S.I.C. - Melodies Uniting Souls In Connection,Mini Spacer,0.573,479301,0.878,0.891,0,0.403,-8.855,0,Wants And Dreams,0.0439,145.004,4,spotify:track:2ark0tgN8LYvDV6fo3N61s,0.36
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,progressive trance",15,BMSS Records,2017-02-13,0.000205,Trancefusion Chapter 2 (Compiled by Boom Shankar),Etnica;Pleiadians;Imaginarium,0.619,417605,0.958,0.82,0,0.0619,-6.207,1,Plasma Light (Imaginarium Remix),0.0521,141.974,4,spotify:track:0vXviHxfxYEctg2r5myWiQ,0.608
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,acid techno",17,XL Recordings,1996-02-05,0.00185,Moment of Truth,Man With No Name,0.608,478600,0.945,0.878,7,0.12,-10.84,1,Azymuth,0.051,196.035,4,spotify:track:6y4QJrnZReIGvLrfvPwvsv,0.469
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,acid techno",24,XL Recordings,1996-02-05,2.68e-05,Moment of Truth,Man With No Name,0.581,371693,0.974,0.845,9,0.0646,-11.581,0,Sugar Rush - Refined Mix,0.0505,140.032,4,spotify:track:6sQczqprOz0Jhq8ilWtDDf,0.181
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,acid techno,progressive trance",21,Trancelucent Productions,2016-02-22,0.00765,Old Is Gold,Man With No Name;Loud,0.594,444890,0.692,0.903,1,0.107,-7.973,1,Teleport - Loud Remix,0.0372,139.988,4,spotify:track:5YX5qOe1BtCSSMaUK55p9A,0.143
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,acid techno",26,XL Recordings,1996-02-05,0.000313,Moment of Truth,Man With No Name,0.586,419000,0.992,0.858,7,0.43,-9.851,1,Moment of Truth,0.0466,139.989,4,spotify:track:0XKmajzPLKidxyuvmR8E3t,0.0385
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,Goa Madness Records,2019-11-27,0.0334,Return Of The Goddess,Pete & Pan,0.493,489461,0.997,0.891,2,0.243,-7.946,1,Passing Spirits,0.0604,144.987,4,spotify:track:0jLfqRyvNau3chOhLVeVRs,0.38
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,1,Goa Madness Records,2019-11-27,0.0502,Return Of The Goddess,Pete & Pan,0.512,544422,0.997,0.835,1,0.408,-7.488,0,Tantric Tweak,0.0537,145.012,4,spotify:track:3pjJoRAQpIK4A5RKinkpZE,0.363
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,Goa Madness Records,2019-11-27,0.0122,Return Of The Goddess,Pete & Pan,0.506,554029,0.993,0.768,2,0.258,-7.275,1,Elysian Fields,0.0449,144.984,4,spotify:track:1JCN9nhgZEbzRAcpSbTogD,0.796
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,memo604,2002-07-22,0.112,Earth Crossing,Chi-A.D.,0.544,480328,0.987,0.821,10,0.12,-9.741,0,Black Light,0.0532,141.972,4,spotify:track:3j1WWTiudxpGK6w3n96QGM,0.504
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,memo604,1998-03-16,0.00759,Exit Eternity / Beyond The Singularity,Chi-A.D.,0.537,657373,0.871,0.854,9,0.111,-11.607,0,Exit Eternity,0.0429,146.008,4,spotify:track:632NXwMErnGw9vR0K9nXKA,0.408
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,memo604,2008-06-12,2.05e-05,Eyes Of Gaia,Chi-A.D.,0.502,566013,0.974,0.804,1,0.761,-6.344,0,Night Shadow,0.0382,146.989,4,spotify:track:2NJ0WIsUNoIqlJzcN18xDA,0.675
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,memo604,1999-09-27,6.89e-05,Anno Domini,Chi-A.D.,0.495,557920,0.972,0.92,0,0.4,-7.86,1,Myopic Utopia - A.D. Mix,0.0581,135.962,4,spotify:track:0UDD60gio6wb13vYMITt1G,0.179
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,memo604,2000-07-11,0.00118,Creeping Gravity / Pathfinder 2000 A.D. / Redivider (Remix),Chi-A.D.,0.53,557226,0.831,0.69,10,0.112,-10.094,0,Creeping Gravity,0.0388,143.974,4,spotify:track:4y4xIF0tssNTSD0jH5oD5E,0.452
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance",3,Believe Lab,2021-01-11,1.98e-05,I Believe (Samadhi Remix),Pleiadians;Samadhi,0.581,461418,0.988,0.795,7,0.0955,-4.074,1,I Believe - Samadhi Remix,0.0907,146.984,3,spotify:track:3vRNrOGp9OeHvmuPYieBne,0.42
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance",7,Classic Goa Trax,2023-11-21,0.0082,I.F.O.,Pleiadians,0.493,699000,0.99,0.84,9,0.948,-7.169,0,Asterope,0.0537,142.991,4,spotify:track:5ZQ37wGJqXjGo9ukZzaXYB,0.387
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,5,Suntrip Records,2024-01-26,0.00164,M.U.S.I.C. - Melodies Uniting Souls In Connection,Mini Spacer,0.507,555804,0.932,0.904,7,0.116,-9.352,1,Breathe,0.0441,149.988,4,spotify:track:29HiqwXGgtOordTeswa8NV,0.125
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,DAT Universe,2024-07-14,0.000913,ZNA Gathering Retro​-​Futuristic Compilation IV,Chi-A.D.,0.512,526104,0.839,0.921,7,0.0821,-8.814,1,Love & Light,0.0326,139.901,4,spotify:track:6AKmpB9wDZhDyTdfsH9895,0.525
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,1,Suntrip Records,2020-08-08,0.00139,Human Control,Triquetra,0.593,466500,0.996,0.883,11,0.147,-9.196,0,Impact,0.0478,144.996,4,spotify:track:2uAVOyP0D1SFcHWoDdYGUb,0.865
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,5,Suntrip Records,2018-01-17,0.0402,Ecstatic Planet,Triquetra,0.571,504360,0.913,0.911,1,0.0779,-8.625,1,Gargantuan Tribes - Live,0.0381,144.983,4,spotify:track:4la8TZOy5ewtSys1Weot29,0.206
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance",21,Nutek Records,2017-06-19,0.0147,Zoombai (Tronsho Remix),Painkiller;Greg Hilight;Tronsho,0.502,436363,0.967,0.883,6,0.0994,-6.58,0,Zoombai - Tronsho Remix,0.0894,142.999,4,spotify:track:7gBUFwlY5x4CqNlCeeSrkW,0.08
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,progressive trance,downtempo,ambient",26,Tribal Vision Records,2007-01-01,0.00141,Floating Free Remixes,Vibrasphere,0.623,488693,0.943,0.716,5,0.301,-6.562,0,Floating Free,0.0473,133.981,4,spotify:track:1VuHql6VniYKsrzNFZ1xT3,0.508
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,0,memo604,2000-07-11,4.47e-05,Creeping Gravity / Pathfinder 2000 A.D. / Redivider (Remix),Chi-A.D.,0.657,567053,0.702,0.868,1,0.123,-12.043,1,Redivider - Remix,0.0369,141.982,4,spotify:track:7CNFJao5Rm20yZ5ykHyPd1,0.152
2026-01-02T09:03:27Z,astrid.verschraege,False,"afro tech,tribal house,afro house,organic house",38,Space Tepee Music,2004-01-07,0.163,Kumharas Ibiza Vol.2 (Compiled By DJ Malte M.V.T.),Djuma Soundsystem,0.735,327973,0.668,0.869,10,0.111,-9.617,0,Les Djinns,0.0414,123.014,4,spotify:track:6JU6B3alhgZNNBTsgfMDAp,0.461
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,6,Chi-A.D.,2025-08-29,0.00469,Spiritual Vortex,Chi-A.D.,0.48,460274,0.994,0.893,11,0.425,-6.542,0,Spiritual Vortex,0.0542,145.988,4,spotify:track:1KRU25k9H6FTV3WqjsJepl,0.53
2026-01-02T09:03:27Z,astrid.verschraege,False,psytrance,1,A.D. Records,2020-07-19,2.02e-05,Arcadian Dream,Chi-A.D.,0.415,704788,0.927,0.81,11,0.493,-8.424,0,Arcadian Dream,0.0575,142.025,4,spotify:track:1a4OhbTa1d9LzNA1NIO2nP,0.0375
2026-01-02T09:03:27Z,astrid.verschraege,False,,54,Dialect recordings,2015-03-02,0.0543,Surf Rider,Il Est Vilaine,0.832,462028,0.553,0.918,4,0.105,-8.937,1,Surf Rider,0.0595,115.997,4,spotify:track:2CbMOsx4FlIf9LjFkVPORH,0.394
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,progressive trance,trance,minimal techno",5,Iboga Records,2021-01-01,0.00617,Loud Remixes,Loud;Art Of Trance;Domestic;Sam Waller,0.636,488333,0.784,0.845,11,0.376,-9.775,1,Moroccan Roll - Sam Waller Remix,0.0462,136.995,3,spotify:track:13GLLhkljkbnRbf7NI5zVM,0.442
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,progressive trance",8,Iboga Records,2021-01-01,0.0242,Remixes (Others),Infected Mushroom;Loud;Domestic,0.685,510638,0.867,0.771,6,0.402,-7.91,0,Psyco - LOUD & Domestic Remix,0.101,141.034,4,spotify:track:64HKeJRDyg837O8yz7O8ZM,0.37
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,progressive trance",10,Trancelucent Productions,2016-02-22,0.00407,Old Is Gold,Infected Mushroom;Loud,0.585,481219,0.564,0.83,6,0.246,-9.099,0,Devil - Loud Remix,0.067,137.98,4,spotify:track:74sCHMi0AYLWRu1wb5XoFI,0.0865
2026-01-02T09:03:27Z,astrid.verschraege,False,"psytrance,trance,progressive trance",24,Trancelucent Productions,2016-02-22,0.00059,Old Is Gold,Tandu;Loud;Oforia,0.635,405283,0.745,0.877,9,0.101,-7.554,0,Alien Pump - Loud & Oforia Remix,0.0492,144.001,4,spotify:track:7itlhCDnjZf2HvbdGtXeMx,0.38
2026-01-02T09:03:57Z,astrid.verschraege,False,,0,Capitol Records,2000-01-01,0.423,Thirteen Tales From Urban Bohemia,The Dandy Warhols,0.477,357000,0.608,0.938,3,0.271,-10.856,1,Sleep,0.0257,160.684,4,spotify:track:0tcnTUmn7IxllWoC0XohhJ,0.269
2026-01-02T09:03:57Z,astrid.verschraege,False,anti-folk,55,Interscope,2002-01-01,0.26,Sea Change,Beck,0.611,227360,0.577,0.000807,0,0.467,-8.728,1,Lost Cause,0.0297,119.877,4,spotify:track:29i8axWOLDmgbiutJb9prB,0.214
2026-01-02T09:03:57Z,astrid.verschraege,False,"anti-folk,folk punk",36,The Moldy Peaches,2001-09-11,0.863,The Moldy Peaches,The Moldy Peaches,0.423,304413,0.3,0.0,9,0.17,-9.71,0,Nothing Came Out,0.037,157.302,4,spotify:track:7mw8HCIf1SD2TyDusrutQv,0.138
2026-01-02T09:03:57Z,astrid.verschraege,False,,68,Down Up Down Music,2001-01-01,0.976,Trading Snakeoil for Wolftickets,Gary Jules;Michael Andrews,0.344,189506,0.0585,0.000362,3,0.103,-17.212,1,Mad World,0.0373,174.149,4,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,0.323
2026-01-02T09:03:57Z,astrid.verschraege,False,,38,Parlophone UK,2018-06-08,0.892,No Shame,Lily Allen,0.529,218640,0.288,0.00029,8,0.17,-9.514,1,Three,0.0267,131.794,4,spotify:track:7h478wd02smsa9jlda6Son,0.19
2026-01-02T09:03:57Z,astrid.verschraege,False,indie folk,71,The Secret Life of Walter Mitty,2013-01-01,0.726,Stay Alive (From The Secret Life Of Walter Mitty),José González,0.714,266906,0.306,0.168,6,0.0924,-12.111,1,"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack",0.0388,129.984,4,spotify:track:0ZNYGrmcehorhh9JOeg5Iv,0.314
2026-01-02T09:03:57Z,astrid.verschraege,False,,0,Universal Music Mexico,1996-08-13,0.0285,Beautiful Freak,Eels,0.67,286800,0.38,0.101,11,0.25,-10.672,0,Not Ready Yet,0.0275,80.882,4,spotify:track:4ZDzwwmDQs1W5sfhg4A3pi,0.268
2026-01-02T09:03:57Z,astrid.verschraege,False,,89,Parlophone Records Limited,2002-08-27,0.731,A Rush of Blood to the Head,Coldplay,0.557,309600,0.442,1.46e-05,5,0.11,-7.224,1,The Scientist,0.0243,146.277,4,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.213
2026-01-02T09:03:57Z,astrid.verschraege,False,"dream pop,slowcore",40,Matador,2015-08-28,0.821,Stuff Like That There,Yo La Tengo,0.587,168013,0.382,9.21e-05,9,0.0864,-9.804,1,My Heart's Not In It,0.0302,125.426,4,spotify:track:3NzGv0zcCwp58mkpybRtwY,0.346
2026-01-02T09:03:57Z,astrid.verschraege,False,neo-psychedelic,60,Warner Records,2002-05-13,0.006,Yoshimi Battles the Pink Robots,The Flaming Lips,0.464,213173,0.797,0.000304,0,0.392,-5.244,1,Do You Realize??,0.0333,129.964,4,spotify:track:2DFRFqWNahKtFD112H2iEZ,0.547
2026-01-02T09:03:57Z,astrid.verschraege,False,,54,Republic Records,2021-08-16,0.583,My Father's Daughter (From The “Flag Day” Original Soundtrack),Olivia Vedder;Eddie Vedder;Glen Hansard,0.696,170893,0.209,0.000143,10,0.14,-11.253,1,My Father's Daughter,0.0313,129.341,4,spotify:track:2LxglhGxGhHF4P11HPEFwu,0.301
2026-01-02T09:03:57Z,astrid.verschraege,False,,0,BMG Rights Management (Australia) Pty Ltd.,2016-07-16,0.242,Honey Bones,DOPE LEMON,0.677,237961,0.74,0.0146,2,0.105,-6.528,1,Marinade,0.0243,110.193,4,spotify:track:4zCrOO8OAjpnmekfIxzTsl,0.679
2026-01-02T09:03:57Z,astrid.verschraege,False,"minimalism,contemporary classical,classical,neoclassical",16,Orange Mountain Music,2022-11-11,0.989,Philip Glass: Opening (Electric Guitar Version),Philip Glass;Sergio Sorrentino,0.445,271384,0.0865,0.91,3,0.0961,-20.4,1,Opening (Electric Guitar Version),0.0334,137.84,3,spotify:track:5GKV6BBAPoWtUp86SggEMo,0.0702
2026-01-02T09:03:57Z,astrid.verschraege,False,folk,37,Spinney Records,1970,0.981,Just Another Diamond Day,Vashti Bunyan,0.629,108080,0.116,0.00181,1,0.111,-17.237,1,Winter Is Blue,0.0361,104.806,3,spotify:track:679Uui1Da9d2SQ9r1TuVWq,0.474
2026-01-02T09:03:57Z,astrid.verschraege,False,"downtempo,trip hop",0,"Mute, a BMG Company",1999-05-17,0.166,Play,Moby,0.0848,217693,0.325,0.165,4,0.592,-10.565,1,My Weakness,0.0333,172.234,4,spotify:track:5UGkyW9peoP0f9cMsCGv4e,0.0371
2026-01-02T09:03:57Z,astrid.verschraege,False,minimalism,0,EMI Marketing,2001-01-01,0.98,A Brief History,Penguin Cafe Orchestra,0.144,240120,0.117,0.035,7,0.0822,-16.02,1,Lullaby - 2001 Digital Remaster,0.0461,79.122,4,spotify:track:1ADcrE8xhwlGmp8QPNqHBR,0.0396
2026-01-02T09:03:57Z,astrid.verschraege,False,,63,Sony BMG Music UK,2003,0.187,Life For Rent,Dido,0.492,221053,0.535,0.0,3,0.128,-7.263,1,Life for Rent,0.0298,83.033,4,spotify:track:7nYS7mmZh0K8EbM8DBRwb9,0.117
2026-01-02T09:03:57Z,astrid.verschraege,False,singer-songwriter,61,14th Floor Records,2006-11-06,0.913,9,Damien Rice,0.346,217946,0.139,7.73e-05,0,0.0934,-15.326,1,9 Crimes,0.0321,136.168,4,spotify:track:5GZEeowhvSieFDiR8fQ2im,0.116
2026-01-02T09:03:57Z,astrid.verschraege,False,"folk pop,indie folk",52,Communion Records,2014-10-17,0.578,Islands,Bear's Den,0.768,222257,0.328,0.00925,0,0.0837,-12.869,1,Magdalene,0.0343,113.003,4,spotify:track:4rE3GW0kxIMc2hRqkY15ys,0.508
2026-01-02T09:03:57Z,astrid.verschraege,False,alt country,32,RCA Records Label,1988-11-02,0.885,The Trinity Session,Cowboy Junkies,0.498,268040,0.129,0.0442,0,0.11,-22.397,1,Blue Moon Revisited (Song For Elvis),0.0301,110.729,3,spotify:track:1RszdaPPEyHMoTyy0pRBrv,0.211
2026-01-02T09:03:57Z,astrid.verschraege,False,,0,Castle Communications,2003-08-05,0.554,Don't Look Back: The Very Best of The Korgis,The Korgis,0.369,258665,0.238,0.0425,1,0.125,-14.994,0,Everybody's Got To Learn Sometime,0.0269,73.899,4,spotify:track:3aXuXjIXG5B2jtlsWKLd1l,0.0578
2026-01-02T09:03:57Z,astrid.verschraege,False,country rock,55,A&M,1969-08-01,0.368,"Through The Morning, Through The Night",Dillard & Clark,0.536,232400,0.409,0.0231,11,0.0751,-13.016,1,Don't Let Me Down,0.0273,74.409,4,spotify:track:1PsDNPG1j7ySpFpxjHB5xb,0.632
2026-01-02T09:03:57Z,astrid.verschraege,False,"nederpop,hollands",62,[PIAS] Recordings Holland,2000-02-21,0.36,De Stilte Voorbij,Abel,0.62,189986,0.689,0.0,9,0.0843,-6.296,0,Onderweg,0.0243,98.13,4,spotify:track:1nduf8eirAAiVLXoC1C7cz,0.419
2026-01-02T09:03:57Z,astrid.verschraege,False,anti-folk,59,Iliad Records,2004-03-16,0.211,Everybody's Gotta Learn Sometime,Beck,0.633,354066,0.279,0.296,10,0.108,-14.643,1,Everybody's Gotta Learn Sometime,0.0323,134.121,4,spotify:track:4oYfMQ6NDGHq0GcbICqsDw,0.136
2026-01-02T09:03:57Z,astrid.verschraege,False,doo-wop,36,Mercury Records,1996-01-01,0.799,The Best Of The Shangri-Las,The Shangri-Las,0.349,160266,0.208,0.217,8,0.13,-15.491,1,"Past, Present & Future",0.037,135.098,3,spotify:track:6ozkTvpSzrRK9vJCMksza3,0.176
2026-01-02T09:03:57Z,astrid.verschraege,False,"new wave,post-punk,gothic rock",36,WM UK,1984-05-04,0.659,Ocean Rain (Expanded; 2007 Remaster),Echo & the Bunnymen,0.286,310573,0.291,0.00162,2,0.551,-13.618,1,Ocean Rain,0.032,104.364,4,spotify:track:3r92A6qjrG4sihvzl2nZDi,0.314
2026-01-02T09:03:57Z,astrid.verschraege,True,dream pop,1,Spanish Prayers,2015-01-01,0.502,Affection,Cigarettes After Sex,0.414,311000,0.413,0.909,7,0.105,-11.249,1,Affection,0.0246,89.842,4,spotify:track:1lusH0zFDRV1ThaFYsUgfi,0.275
2026-01-02T09:03:57Z,astrid.verschraege,False,,52,EMI,2012-01-01,0.335,Jake Bugg,Jake Bugg,0.439,247013,0.442,0.00889,8,0.107,-8.873,1,Broken,0.0288,119.81,4,spotify:track:1Bph2KY0MA2JUiX5uADWjZ,0.189
2026-01-02T09:03:57Z,astrid.verschraege,False,,27,PEERMUSIC FRANCE,2001-12-12,0.886,Le peuple migrateur (Bande originale du film),Nick Cave,0.575,244226,0.388,7.11e-05,4,0.0931,-9.844,0,To Be by Your Side,0.0319,71.803,4,spotify:track:5wEHDW9K9FQAv7hQoCtAxz,0.193
2026-01-02T09:03:57Z,astrid.verschraege,False,,0,4AD,1994-01-24,0.847,Hips and Makers,Kristin Hersh,0.428,196866,0.227,0.0,7,0.122,-14.155,1,Your Ghost,0.0354,145.087,4,spotify:track:0A7qioko14RIfc0xd5Vqqi,0.322
