Track URI,name,Album Name,artists,Release Date,duration_ms,Popularity,Explicit,Added By,Added At,Genres,Record Label,danceability,energy,Key,loudness,Mode,Speechiness,acousticness,Instrumentalness,Liveness,valence,tempo,Time Signature
spotify:track:5YX5qOe1BtCSSMaUK55p9A,Teleport - Loud Remix,Old Is Gold,Man With No Name;Loud,2016-02-22,444890,21,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,acid techno,progressive trance",Trancelucent Productions,0.594,0.692,1,-7.973,1,0.0372,0.00765,0.903,0.107,0.143,139.988,4
spotify:track:0XKmajzPLKidxyuvmR8E3t,Moment of Truth,Moment of Truth,Man With No Name,1996-02-05,419000,26,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,acid techno",XL Recordings,0.586,0.992,7,-9.851,1,0.0466,0.000313,0.858,0.43,0.0385,139.989,4
spotify:track:0jLfqRyvNau3chOhLVeVRs,Passing Spirits,Return Of The Goddess,Pete & Pan,2019-11-27,489461,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Goa Madness Records,0.493,0.997,2,-7.946,1,0.0604,0.0334,0.891,0.243,0.38,144.987,4
spotify:track:3pjJoRAQpIK4A5RKinkpZE,Tantric Tweak,Return Of The Goddess,Pete & Pan,2019-11-27,544422,1,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Goa Madness Records,0.512,0.997,1,-7.488,0,0.0537,0.0502,0.835,0.408,0.363,145.012,4
spotify:track:1JCN9nhgZEbzRAcpSbTogD,Elysian Fields,Return Of The Goddess,Pete & Pan,2019-11-27,554029,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Goa Madness Records,0.506,0.993,2,-7.275,1,0.0449,0.0122,0.768,0.258,0.796,144.984,4
spotify:track:3j1WWTiudxpGK6w3n96QGM,Black Light,Earth Crossing,Chi-A.D.,2002-07-22,480328,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,memo604,0.544,0.987,10,-9.741,0,0.0532,0.112,0.821,0.12,0.504,141.972,4
spotify:track:632NXwMErnGw9vR0K9nXKA,Exit Eternity,Exit Eternity / Beyond The Singularity,Chi-A.D.,1998-03-16,657373,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,memo604,0.537,0.871,9,-11.607,0,0.0429,0.00759,0.854,0.111,0.408,146.008,4
spotify:track:2NJ0WIsUNoIqlJzcN18xDA,Night Shadow,Eyes Of Gaia,Chi-A.D.,2008-06-12,566013,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,memo604,0.502,0.974,1,-6.344,0,0.0382,2.05e-05,0.804,0.761,0.675,146.989,4
spotify:track:0UDD60gio6wb13vYMITt1G,Myopic Utopia - A.D. Mix,Anno Domini,Chi-A.D.,1999-09-27,557920,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,memo604,0.495,0.972,0,-7.86,1,0.0581,6.89e-05,0.92,0.4,0.179,135.962,4
spotify:track:4y4xIF0tssNTSD0jH5oD5E,Creeping Gravity,Creeping Gravity / Pathfinder 2000 A.D. / Redivider (Remix),Chi-A.D.,2000-07-11,557226,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,memo604,0.53,0.831,10,-10.094,0,0.0388,0.00118,0.69,0.112,0.452,143.974,4
spotify:track:3vRNrOGp9OeHvmuPYieBne,I Believe - Samadhi Remix,I Believe (Samadhi Remix),Pleiadians;Samadhi,2021-01-11,461418,3,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance",Believe Lab,0.581,0.988,7,-4.074,1,0.0907,1.98e-05,0.795,0.0955,0.42,146.984,3
spotify:track:5ZQ37wGJqXjGo9ukZzaXYB,Asterope,I.F.O.,Pleiadians,2023-11-21,699000,7,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance",Classic Goa Trax,0.493,0.99,9,-7.169,0,0.0537,0.0082,0.84,0.948,0.387,142.991,4
spotify:track:29HiqwXGgtOordTeswa8NV,Breathe,M.U.S.I.C. - Melodies Uniting Souls In Connection,Mini Spacer,2024-01-26,555804,5,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Suntrip Records,0.507,0.932,7,-9.352,1,0.0441,0.00164,0.904,0.116,0.125,149.988,4
spotify:track:6AKmpB9wDZhDyTdfsH9895,Love & Light,ZNA Gathering Retro​-​Futuristic Compilation IV,Chi-A.D.,2024-07-14,526104,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,DAT Universe,0.512,0.839,7,-8.814,1,0.0326,0.000913,0.921,0.0821,0.525,139.901,4
spotify:track:2uAVOyP0D1SFcHWoDdYGUb,Impact,Human Control,Triquetra,2020-08-08,466500,1,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Suntrip Records,0.593,0.996,11,-9.196,0,0.0478,0.00139,0.883,0.147,0.865,144.996,4
spotify:track:4la8TZOy5ewtSys1Weot29,Gargantuan Tribes - Live,Ecstatic Planet,Triquetra,2018-01-17,504360,5,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Suntrip Records,0.571,0.913,1,-8.625,1,0.0381,0.0402,0.911,0.0779,0.206,144.983,4
spotify:track:7gBUFwlY5x4CqNlCeeSrkW,Zoombai - Tronsho Remix,Zoombai (Tronsho Remix),Painkiller;Greg Hilight;Tronsho,2017-06-19,436363,21,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance",Nutek Records,0.502,0.967,6,-6.58,0,0.0894,0.0147,0.883,0.0994,0.08,142.999,4
spotify:track:1VuHql6VniYKsrzNFZ1xT3,Floating Free,Floating Free Remixes,Vibrasphere,2007-01-01,488693,26,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,progressive trance,downtempo,ambient",Tribal Vision Records,0.623,0.943,5,-6.562,0,0.0473,0.00141,0.716,0.301,0.508,133.981,4
spotify:track:7CNFJao5Rm20yZ5ykHyPd1,Redivider - Remix,Creeping Gravity / Pathfinder 2000 A.D. / Redivider (Remix),Chi-A.D.,2000-07-11,567053,0,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,memo604,0.657,0.702,1,-12.043,1,0.0369,4.47e-05,0.868,0.123,0.152,141.982,4
spotify:track:6JU6B3alhgZNNBTsgfMDAp,Les Djinns,Kumharas Ibiza Vol.2 (Compiled By DJ Malte M.V.T.),Djuma Soundsystem,2004-01-07,327973,38,False,astrid.verschraege,2026-01-02T09:03:27Z,"afro tech,tribal house,afro house,organic house",Space Tepee Music,0.735,0.668,10,-9.617,0,0.0414,0.163,0.869,0.111,0.461,123.014,4
spotify:track:1KRU25k9H6FTV3WqjsJepl,Spiritual Vortex,Spiritual Vortex,Chi-A.D.,2025-08-29,460274,6,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,Chi-A.D.,0.48,0.994,11,-6.542,0,0.0542,0.00469,0.893,0.425,0.53,145.988,4
spotify:track:1a4OhbTa1d9LzNA1NIO2nP,Arcadian Dream,Arcadian Dream,Chi-A.D.,2020-07-19,704788,1,False,astrid.verschraege,2026-01-02T09:03:27Z,psytrance,A.D. Records,0.415,0.927,11,-8.424,0,0.0575,2.02e-05,0.81,0.493,0.0375,142.025,4
spotify:track:2CbMOsx4FlIf9LjFkVPORH,Surf Rider,Surf Rider,Il Est Vilaine,2015-03-02,462028,54,False,astrid.verschraege,2026-01-02T09:03:27Z,,Dialect recordings,0.832,0.553,4,-8.937,1,0.0595,0.0543,0.918,0.105,0.394,115.997,4
spotify:track:13GLLhkljkbnRbf7NI5zVM,Moroccan Roll - Sam Waller Remix,Loud Remixes,Loud;Art Of Trance;Domestic;Sam Waller,2021-01-01,488333,5,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,progressive trance,trance,minimal techno",Iboga Records,0.636,0.784,11,-9.775,1,0.0462,0.00617,0.845,0.376,0.442,136.995,3
spotify:track:64HKeJRDyg837O8yz7O8ZM,Psyco - LOUD & Domestic Remix,Remixes (Others),Infected Mushroom;Loud;Domestic,2021-01-01,510638,8,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,progressive trance",Iboga Records,0.685,0.867,6,-7.91,0,0.101,0.0242,0.771,0.402,0.37,141.034,4
spotify:track:74sCHMi0AYLWRu1wb5XoFI,Devil - Loud Remix,Old Is Gold,Infected Mushroom;Loud,2016-02-22,481219,10,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,progressive trance",Trancelucent Productions,0.585,0.564,6,-9.099,0,0.067,0.00407,0.83,0.246,0.0865,137.98,4
spotify:track:7itlhCDnjZf2HvbdGtXeMx,Alien Pump - Loud & Oforia Remix,Old Is Gold,Tandu;Loud;Oforia,2016-02-22,405283,24,False,astrid.verschraege,2026-01-02T09:03:27Z,"psytrance,trance,progressive trance",Trancelucent Productions,0.635,0.745,9,-7.554,0,0.0492,0.00059,0.877,0.101,0.38,144.001,4
spotify:track:0tcnTUmn7IxllWoC0XohhJ,Sleep,Thirteen Tales From Urban Bohemia,The Dandy Warhols,2000-01-01,357000,0,False,astrid.verschraege,2026-01-02T09:03:57Z,,Capitol Records,0.477,0.608,3,-10.856,1,0.0257,0.423,0.938,0.271,0.269,160.684,4
spotify:track:29i8axWOLDmgbiutJb9prB,Lost Cause,Sea Change,Beck,2002-01-01,227360,55,False,astrid.verschraege,2026-01-02T09:03:57Z,anti-folk,Interscope,0.611,0.577,0,-8.728,1,0.0297,0.26,0.000807,0.467,0.214,119.877,4
spotify:track:7mw8HCIf1SD2TyDusrutQv,Nothing Came Out,The Moldy Peaches,The Moldy Peaches,2001-09-11,304413,36,False,astrid.verschraege,2026-01-02T09:03:57Z,"anti-folk,folk punk",The Moldy Peaches,0.423,0.3,9,-9.71,0,0.037,0.863,0.0,0.17,0.138,157.302,4
spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,Mad World,Trading Snakeoil for Wolftickets,Gary Jules;Michael Andrews,2001-01-01,189506,68,False,astrid.verschraege,2026-01-02T09:03:57Z,,Down Up Down Music,0.344,0.0585,3,-17.212,1,0.0373,0.976,0.000362,0.103,0.323,174.149,4
spotify:track:7h478wd02smsa9jlda6Son,Three,No Shame,Lily Allen,2018-06-08,218640,38,False,astrid.verschraege,2026-01-02T09:03:57Z,,Parlophone UK,0.529,0.288,8,-9.514,1,0.0267,0.892,0.00029,0.17,0.19,131.794,4
spotify:track:0ZNYGrmcehorhh9JOeg5Iv,"Stay Alive - From ""The Secret Life of Walter Mitty"" Soundtrack",Stay Alive (From The Secret Life Of Walter Mitty),José González,2013-01-01,266906,71,False,astrid.verschraege,2026-01-02T09:03:57Z,indie folk,The Secret Life of Walter Mitty,0.714,0.306,6,-12.111,1,0.0388,0.726,0.168,0.0924,0.314,129.984,4
spotify:track:4ZDzwwmDQs1W5sfhg4A3pi,Not Ready Yet,Beautiful Freak,Eels,1996-08-13,286800,0,False,astrid.verschraege,2026-01-02T09:03:57Z,,Universal Music Mexico,0.67,0.38,11,-10.672,0,0.0275,0.0285,0.101,0.25,0.268,80.882,4
spotify:track:75JFxkI2RXiU7L9VXzMkle,The Scientist,A Rush of Blood to the Head,Coldplay,2002-08-27,309600,89,False,astrid.verschraege,2026-01-02T09:03:57Z,,Parlophone Records Limited,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,4
spotify:track:3NzGv0zcCwp58mkpybRtwY,My Heart's Not In It,Stuff Like That There,Yo La Tengo,2015-08-28,168013,40,False,astrid.verschraege,2026-01-02T09:03:57Z,"dream pop,slowcore",Matador,0.587,0.382,9,-9.804,1,0.0302,0.821,9.21e-05,0.0864,0.346,125.426,4
spotify:track:2DFRFqWNahKtFD112H2iEZ,Do You Realize??,Yoshimi Battles the Pink Robots,The Flaming Lips,2002-05-13,213173,60,False,astrid.verschraege,2026-01-02T09:03:57Z,neo-psychedelic,Warner Records,0.464,0.797,0,-5.244,1,0.0333,0.006,0.000304,0.392,0.547,129.964,4
spotify:track:2LxglhGxGhHF4P11HPEFwu,My Father's Daughter,My Father's Daughter (From The “Flag Day” Original Soundtrack),Olivia Vedder;Eddie Vedder;Glen Hansard,2021-08-16,170893,54,False,astrid.verschraege,2026-01-02T09:03:57Z,,Republic Records,0.696,0.209,10,-11.253,1,0.0313,0.583,0.000143,0.14,0.301,129.341,4
spotify:track:4zCrOO8OAjpnmekfIxzTsl,Marinade,Honey Bones,DOPE LEMON,2016-07-16,237961,0,False,astrid.verschraege,2026-01-02T09:03:57Z,,BMG Rights Management (Australia) Pty Ltd.,0.677,0.74,2,-6.528,1,0.0243,0.242,0.0146,0.105,0.679,110.193,4
spotify:track:5GKV6BBAPoWtUp86SggEMo,Opening (Electric Guitar Version),Philip Glass: Opening (Electric Guitar Version),Philip Glass;Sergio Sorrentino,2022-11-11,271384,16,False,astrid.verschraege,2026-01-02T09:03:57Z,"minimalism,contemporary classical,classical,neoclassical",Orange Mountain Music,0.445,0.0865,3,-20.4,1,0.0334,0.989,0.91,0.0961,0.0702,137.84,3
spotify:track:679Uui1Da9d2SQ9r1TuVWq,Winter Is Blue,Just Another Diamond Day,Vashti Bunyan,1970,108080,37,False,astrid.verschraege,2026-01-02T09:03:57Z,folk,Spinney Records,0.629,0.116,1,-17.237,1,0.0361,0.981,0.00181,0.111,0.474,104.806,3
spotify:track:5UGkyW9peoP0f9cMsCGv4e,My Weakness,Play,Moby,1999-05-17,217693,0,False,astrid.verschraege,2026-01-02T09:03:57Z,"downtempo,trip hop","Mute, a BMG Company",0.0848,0.325,4,-10.565,1,0.0333,0.166,0.165,0.592,0.0371,172.234,4
spotify:track:1ADcrE8xhwlGmp8QPNqHBR,Lullaby - 2001 Digital Remaster,A Brief History,Penguin Cafe Orchestra,2001-01-01,240120,0,False,astrid.verschraege,2026-01-02T09:03:57Z,minimalism,EMI Marketing,0.144,0.117,7,-16.02,1,0.0461,0.98,0.035,0.0822,0.0396,79.122,4
spotify:track:7nYS7mmZh0K8EbM8DBRwb9,Life for Rent,Life For Rent,Dido,2003,221053,63,False,astrid.verschraege,2026-01-02T09:03:57Z,,Sony BMG Music UK,0.492,0.535,3,-7.263,1,0.0298,0.187,0.0,0.128,0.117,83.033,4
spotify:track:5GZEeowhvSieFDiR8fQ2im,9 Crimes,9,Damien Rice,2006-11-06,217946,61,False,astrid.verschraege,2026-01-02T09:03:57Z,singer-songwriter,14th Floor Records,0.346,0.139,0,-15.326,1,0.0321,0.913,7.73e-05,0.0934,0.116,136.168,4
spotify:track:4rE3GW0kxIMc2hRqkY15ys,Magdalene,Islands,Bear's Den,2014-10-17,222257,52,False,astrid.verschraege,2026-01-02T09:03:57Z,"folk pop,indie folk",Communion Records,0.768,0.328,0,-12.869,1,0.0343,0.578,0.00925,0.0837,0.508,113.003,4
spotify:track:1RszdaPPEyHMoTyy0pRBrv,Blue Moon Revisited (Song For Elvis),The Trinity Session,Cowboy Junkies,1988-11-02,268040,32,False,astrid.verschraege,2026-01-02T09:03:57Z,alt country,RCA Records Label,0.498,0.129,0,-22.397,1,0.0301,0.885,0.0442,0.11,0.211,110.729,3
spotify:track:3aXuXjIXG5B2jtlsWKLd1l,Everybody's Got To Learn Sometime,Don't Look Back: The Very Best of The Korgis,The Korgis,2003-08-05,258665,0,False,astrid.verschraege,2026-01-02T09:03:57Z,,Castle Communications,0.369,0.238,1,-14.994,0,0.0269,0.554,0.0425,0.125,0.0578,73.899,4
spotify:track:1PsDNPG1j7ySpFpxjHB5xb,Don't Let Me Down,"Through The Morning, Through The Night",Dillard & Clark,1969-08-01,232400,55,False,astrid.verschraege,2026-01-02T09:03:57Z,country rock,A&M,0.536,0.409,11,-13.016,1,0.0273,0.368,0.0231,0.0751,0.632,74.409,4
spotify:track:1nduf8eirAAiVLXoC1C7cz,Onderweg,De Stilte Voorbij,Abel,2000-02-21,189986,62,False,astrid.verschraege,2026-01-02T09:03:57Z,"nederpop,hollands",[PIAS] Recordings Holland,0.62,0.689,9,-6.296,0,0.0243,0.36,0.0,0.0843,0.419,98.13,4
spotify:track:4oYfMQ6NDGHq0GcbICqsDw,Everybody's Gotta Learn Sometime,Everybody's Gotta Learn Sometime,Beck,2004-03-16,354066,59,False,astrid.verschraege,2026-01-02T09:03:57Z,anti-folk,Iliad Records,0.633,0.279,10,-14.643,1,0.0323,0.211,0.296,0.108,0.136,134.121,4
spotify:track:6ozkTvpSzrRK9vJCMksza3,"Past, Present & Future",The Best Of The Shangri-Las,The Shangri-Las,1996-01-01,160266,36,False,astrid.verschraege,2026-01-02T09:03:57Z,doo-wop,Mercury Records,0.349,0.208,8,-15.491,1,0.037,0.799,0.217,0.13,0.176,135.098,3
spotify:track:3r92A6qjrG4sihvzl2nZDi,Ocean Rain,Ocean Rain (Expanded; 2007 Remaster),Echo & the Bunnymen,1984-05-04,310573,36,False,astrid.verschraege,2026-01-02T09:03:57Z,"new wave,post-punk,gothic rock",WM UK,0.286,0.291,2,-13.618,1,0.032,0.659,0.00162,0.551,0.314,104.364,4
spotify:track:1lusH0zFDRV1ThaFYsUgfi,Affection,Affection,Cigarettes After Sex,2015-01-01,311000,1,True,astrid.verschraege,2026-01-02T09:03:57Z,dream pop,Spanish Prayers,0.414,0.413,7,-11.249,1,0.0246,0.502,0.909,0.105,0.275,89.842,4
spotify:track:1Bph2KY0MA2JUiX5uADWjZ,Broken,Jake Bugg,Jake Bugg,2012-01-01,247013,52,False,astrid.verschraege,2026-01-02T09:03:57Z,,EMI,0.439,0.442,8,-8.873,1,0.0288,0.335,0.00889,0.107,0.189,119.81,4
spotify:track:5wEHDW9K9FQAv7hQoCtAxz,To Be by Your Side,Le peuple migrateur (Bande originale du film),Nick Cave,2001-12-12,244226,27,False,astrid.verschraege,2026-01-02T09:03:57Z,,PEERMUSIC FRANCE,0.575,0.388,4,-9.844,0,0.0319,0.886,7.11e-05,0.0931,0.193,71.803,4
spotify:track:0A7qioko14RIfc0xd5Vqqi,Your Ghost,Hips and Makers,Kristin Hersh,1994-01-24,196866,0,False,astrid.verschraege,2026-01-02T09:03:57Z,,4AD,0.428,0.227,7,-14.155,1,0.0354,0.847,0.0,0.122,0.322,145.087,4
